timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-12-07 12:40:58,29.7,32.5,16,6,0,6.40
2025-12-07 12:40:58,7.5,32.5,11,6,0,6.40
2025-12-07 12:40:58,9.1,32.5,15,6,0,6.40
2025-12-07 12:40:59,16.2,32.5,13,6,0,6.40
2025-12-07 12:40:59,18.3,32.5,12,6,0,6.40
2025-12-07 12:41:00,12.9,32.6,11,6,0,6.85
2025-12-07 12:41:00,27.3,32.5,12,6,0,6.85
2025-12-07 12:41:00,8.8,32.5,10,6,0,6.85
2025-12-07 12:41:01,26.3,32.6,13,6,0,6.85
2025-12-07 12:41:01,1.5,32.6,10,6,0,6.85
2025-12-07 12:41:01,1.5,32.8,14,6,0,6.85
2025-12-07 12:41:02,1.5,32.8,15,6,0,6.85
2025-12-07 12:41:02,4.4,32.8,10,6,0,6.85
2025-12-07 12:41:02,2.9,32.8,10,6,0,6.85
2025-12-07 12:41:03,2.9,32.8,14,6,0,6.85
2025-12-07 12:41:03,4.5,32.8,13,6,0,6.85
2025-12-07 12:41:03,2.9,32.8,14,6,0,6.85
2025-12-07 12:41:04,2.8,32.8,14,6,0,6.85
2025-12-07 12:41:04,2.9,32.8,13,6,0,6.85
2025-12-07 12:41:05,1.4,32.8,14,6,0,8.38
2025-12-07 12:41:05,2.9,32.9,14,6,0,8.38
2025-12-07 12:41:05,1.5,32.8,14,6,0,8.38
2025-12-07 12:41:06,2.9,32.8,12,6,0,8.38
2025-12-07 12:41:06,3.0,32.8,14,6,0,8.38
2025-12-07 12:41:06,2.9,32.9,10,6,0,8.38
2025-12-07 12:41:07,1.5,32.9,12,6,0,8.38
2025-12-07 12:41:07,4.4,33.0,14,6,0,8.38
2025-12-07 12:41:08,2.9,33.0,14,6,0,8.38
2025-12-07 12:41:08,4.3,33.0,14,6,0,8.38
2025-12-07 12:41:08,1.4,33.1,14,6,0,8.38
2025-12-07 12:41:09,1.5,33.1,13,6,0,8.38
2025-12-07 12:41:09,5.9,33.1,13,6,0,8.38
2025-12-07 12:41:09,1.4,33.1,12,6,0,11.16
2025-12-07 12:41:10,2.9,33.1,12,6,0,11.16
2025-12-07 12:41:10,10.3,33.1,10,6,0,11.16
2025-12-07 12:41:11,1.5,33.1,14,6,0,11.16
2025-12-07 12:41:11,3.0,33.1,13,6,0,11.16
2025-12-07 12:41:11,0.0,33.1,14,6,0,11.16
2025-12-07 12:41:12,2.9,33.1,13,6,0,11.16
2025-12-07 12:41:12,25.0,33.0,11,6,0,11.16
2025-12-07 12:41:12,1.4,33.0,12,6,0,11.16
2025-12-07 12:41:14,61.8,33.3,1108,9,83,11.16
2025-12-07 12:41:17,63.0,33.3,2583,37,35,15.39
2025-12-07 12:41:18,72.6,35.0,39,37,33,15.39
2025-12-07 12:41:18,68.5,35.1,27,69,29,15.39
2025-12-07 12:41:19,81.3,35.3,21,69,17,15.39
2025-12-07 12:41:19,2.9,34.1,13,69,0,15.39
2025-12-07 12:41:20,1.4,34.1,13,69,0,18.08
2025-12-07 12:41:20,1.4,34.1,14,69,0,18.08
2025-12-07 12:41:20,2.9,34.1,10,68,0,18.08
2025-12-07 12:41:21,4.3,34.1,10,68,0,18.08
2025-12-07 12:41:21,2.9,34.1,12,67,0,18.08
2025-12-07 12:41:21,2.9,34.1,10,67,0,18.08
2025-12-07 12:41:22,5.6,34.1,13,67,0,18.08
2025-12-07 12:41:22,5.9,34.2,14,66,0,18.08
2025-12-07 12:41:23,1.4,34.1,12,66,0,18.08
2025-12-07 12:41:23,2.9,34.2,14,66,0,18.08
2025-12-07 12:41:23,1.4,34.1,14,65,0,18.08
2025-12-07 12:41:24,2.8,34.1,11,65,0,18.08
2025-12-07 12:41:24,2.9,34.1,14,64,0,18.08
2025-12-07 12:41:24,2.9,34.1,10,64,0,21.20
2025-12-07 12:41:25,2.9,34.1,11,64,0,21.20
2025-12-07 12:41:25,3.0,34.1,13,63,0,21.20
2025-12-07 12:41:26,2.9,34.1,10,63,0,21.20
2025-12-07 12:41:26,2.8,34.1,14,63,0,21.20
2025-12-07 12:41:26,1.4,34.1,14,62,0,21.20
2025-12-07 12:41:27,2.8,34.1,14,62,0,21.20
2025-12-07 12:41:27,5.7,34.1,10,61,0,21.20
2025-12-07 12:41:27,2.9,34.1,13,61,0,21.20
2025-12-07 12:41:28,2.9,34.1,14,61,0,21.20
2025-12-07 12:41:28,2.9,34.1,12,60,0,21.20
2025-12-07 12:41:29,4.3,34.1,14,60,0,21.20
2025-12-07 12:41:29,4.3,34.1,13,60,0,21.20
2025-12-07 12:41:29,2.9,34.1,13,59,0,21.20
2025-12-07 12:41:30,23.4,34.0,13,59,0,24.62
2025-12-07 12:41:30,12.9,33.9,14,58,0,24.62
2025-12-07 12:41:31,2.9,33.8,14,58,0,24.62
2025-12-07 12:41:31,0.0,33.9,14,58,0,24.62
2025-12-07 12:41:31,2.9,33.9,14,57,0,24.62
2025-12-07 12:41:32,1.4,33.9,12,57,0,24.62
2025-12-07 12:41:32,4.2,33.9,10,57,0,24.62
2025-12-07 12:41:32,2.8,33.9,10,56,0,24.62
2025-12-07 12:41:33,1.4,33.9,12,56,0,24.62
2025-12-07 12:41:33,2.9,33.9,14,55,0,24.62
2025-12-07 12:41:34,2.9,33.9,14,55,0,24.62
2025-12-07 12:41:34,2.8,33.9,14,55,0,24.62
2025-12-07 12:41:34,4.2,33.9,14,54,0,24.62
