timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-12-07 14:55:05,26.0,34.3,27,6,0,0.45
2025-12-07 14:55:05,4.4,34.4,11,6,0,0.74
2025-12-07 14:55:05,2.9,34.4,11,6,0,0.74
2025-12-07 14:55:06,13.2,34.5,13,6,0,0.74
2025-12-07 14:55:06,10.4,34.5,10,6,0,0.74
2025-12-07 14:55:07,25.0,34.6,24,6,0,0.74
2025-12-07 14:55:07,1.5,34.5,12,6,0,0.74
2025-12-07 14:55:07,4.3,34.6,13,6,0,0.74
2025-12-07 14:55:08,2.9,34.6,14,6,0,0.74
2025-12-07 14:55:08,0.0,34.6,14,6,0,0.74
2025-12-07 14:55:08,1.5,34.6,14,6,0,0.74
2025-12-07 14:55:09,1.5,34.6,13,6,0,0.74
2025-12-07 14:55:09,1.5,34.6,14,6,0,0.74
2025-12-07 14:55:09,3.0,34.7,14,6,0,0.74
2025-12-07 14:55:10,1.5,34.6,13,6,0,0.74
2025-12-07 14:55:10,1.5,34.6,13,6,0,0.68
2025-12-07 14:55:11,6.0,34.6,14,6,0,0.68
2025-12-07 14:55:11,14.7,34.6,12,6,1,0.68
2025-12-07 14:55:11,14.9,34.6,10,7,1,0.68
2025-12-07 14:55:12,5.8,34.7,10,7,2,0.68
2025-12-07 14:55:12,10.8,34.7,10,7,2,0.68
2025-12-07 14:55:12,1.5,34.7,13,9,2,0.68
2025-12-07 14:55:13,1.5,34.7,14,9,2,0.68
2025-12-07 14:55:13,1.5,34.7,12,9,2,0.68
2025-12-07 14:55:13,1.5,34.8,10,9,3,0.68
2025-12-07 14:55:14,1.5,34.8,13,9,3,0.68
2025-12-07 14:55:14,14.5,34.7,11,9,3,0.68
2025-12-07 14:55:15,7.6,34.8,10,9,4,0.68
2025-12-07 14:55:15,0.0,34.8,13,9,4,0.68
2025-12-07 14:55:15,6.1,34.8,12,10,4,1.50
2025-12-07 14:55:16,13.4,34.8,10,10,5,1.50
2025-12-07 14:55:16,9.1,34.8,11,10,4,1.50
2025-12-07 14:55:16,1.5,34.8,14,10,4,1.50
2025-12-07 14:55:17,3.0,34.8,14,10,4,1.50
2025-12-07 14:55:17,16.7,34.9,13,10,4,1.50
2025-12-07 14:55:17,26.3,34.8,12,10,4,1.50
2025-12-07 14:55:18,1.5,34.7,14,10,4,1.50
2025-12-07 14:55:18,2.9,34.8,14,10,4,1.50
2025-12-07 14:55:19,1.5,34.7,14,10,5,1.50
2025-12-07 14:55:19,7.7,34.7,10,10,5,1.50
2025-12-07 14:55:19,2.9,34.7,13,11,5,1.50
2025-12-07 14:55:20,1.5,34.8,14,11,4,1.50
2025-12-07 14:55:20,16.4,34.7,13,11,4,2.59
2025-12-07 14:55:20,7.4,34.8,10,11,4,2.59
2025-12-07 14:55:21,0.0,34.8,14,11,4,2.59
2025-12-07 14:55:21,17.9,34.9,12,11,3,2.59
2025-12-07 14:55:22,3.0,34.9,13,11,3,2.59
2025-12-07 14:55:22,2.9,34.9,10,11,3,2.59
2025-12-07 14:55:22,0.0,34.9,12,11,2,2.59
2025-12-07 14:55:23,2.9,34.9,13,11,2,2.59
2025-12-07 14:55:23,4.4,35.0,13,11,2,2.59
2025-12-07 14:55:23,5.9,35.0,10,11,3,2.59
2025-12-07 14:55:24,1.5,35.0,13,11,3,2.59
2025-12-07 14:55:24,3.0,35.0,14,11,3,2.59
2025-12-07 14:55:24,3.0,35.1,14,11,3,2.59
2025-12-07 14:55:25,1.5,35.1,12,11,3,2.59
2025-12-07 14:55:25,0.0,35.0,13,11,3,3.82
2025-12-07 14:55:26,1.5,35.0,13,11,3,3.82
2025-12-07 14:55:26,1.5,35.0,13,11,3,3.82
2025-12-07 14:55:26,1.5,35.0,14,11,2,3.82
2025-12-07 14:55:27,2.9,35.0,13,11,2,3.82
2025-12-07 14:55:27,2.9,35.0,13,11,1,3.82
2025-12-07 14:55:27,1.5,35.0,14,11,1,3.82
2025-12-07 14:55:28,1.5,35.0,14,11,1,3.82
2025-12-07 14:55:28,11.9,35.0,10,11,1,3.82
2025-12-07 14:55:29,0.0,35.0,12,11,1,3.82
2025-12-07 14:55:29,2.9,35.0,12,11,1,3.82
2025-12-07 14:55:29,1.5,35.1,14,11,1,3.82
2025-12-07 14:55:30,4.4,35.1,14,11,1,3.82
2025-12-07 14:55:30,1.5,35.1,14,11,1,5.44
2025-12-07 14:55:30,6.0,35.1,10,11,1,5.44
2025-12-07 14:55:31,42.1,35.0,10,11,2,5.44
2025-12-07 14:55:31,18.6,34.9,10,11,3,5.44
2025-12-07 14:55:31,1.5,35.0,14,11,3,5.44
2025-12-07 14:55:32,5.8,35.0,14,11,3,5.44
2025-12-07 14:55:32,4.3,34.9,14,11,3,5.44
2025-12-07 14:55:33,3.0,34.9,12,11,3,5.44
2025-12-07 14:55:33,2.9,34.9,14,11,3,5.44
2025-12-07 14:55:33,4.5,34.9,14,11,2,5.44
2025-12-07 14:55:34,1.5,35.0,13,11,2,5.44
2025-12-07 14:55:34,1.5,35.0,14,11,2,5.44
2025-12-07 14:55:34,2.9,35.0,14,11,2,5.44
2025-12-07 14:55:35,0.0,35.0,14,11,2,5.44
2025-12-07 14:55:35,11.8,35.0,14,11,3,7.96
2025-12-07 14:55:36,3.0,35.0,13,11,3,7.96
2025-12-07 14:55:36,7.1,35.0,10,11,3,7.96
2025-12-07 14:55:36,0.0,35.0,14,11,3,7.96
2025-12-07 14:55:37,1.5,35.0,10,11,3,7.96
2025-12-07 14:55:37,0.0,35.1,13,11,2,7.96
2025-12-07 14:55:37,1.5,35.1,14,11,2,7.96
2025-12-07 14:55:38,1.5,35.1,14,11,2,7.96
2025-12-07 14:55:38,1.5,35.1,14,11,2,7.96
2025-12-07 14:55:39,4.3,35.0,14,11,2,7.96
2025-12-07 14:55:39,2.9,35.0,13,11,3,7.96
2025-12-07 14:55:39,6.0,35.0,12,11,3,7.96
2025-12-07 14:55:40,0.0,35.0,14,11,3,7.96
2025-12-07 14:55:40,10.4,35.0,10,11,4,10.53
2025-12-07 14:55:40,4.3,35.1,11,11,3,10.53
2025-12-07 14:55:41,2.9,35.1,13,11,3,10.53
2025-12-07 14:55:41,3.0,35.1,10,11,2,10.53
2025-12-07 14:55:41,1.5,35.1,14,11,2,10.53
2025-12-07 14:55:42,2.9,35.1,12,11,2,10.53
2025-12-07 14:55:42,5.9,35.1,14,11,2,10.53
2025-12-07 14:55:43,1.5,35.1,14,11,2,10.53
2025-12-07 14:55:43,1.4,35.1,14,11,2,10.53
2025-12-07 14:55:43,14.3,35.1,10,11,3,10.53
2025-12-07 14:55:44,30.1,35.1,14,11,3,10.53
2025-12-07 14:55:44,3.0,35.1,14,11,2,10.53
2025-12-07 14:55:44,1.4,35.1,14,11,2,10.53
2025-12-07 14:55:45,0.0,35.1,12,11,2,10.53
2025-12-07 14:55:45,9.0,35.0,12,11,3,12.89
2025-12-07 14:55:46,2.9,35.1,14,11,3,12.89
2025-12-07 14:55:46,10.1,35.0,10,11,3,12.89
2025-12-07 14:55:46,2.9,35.0,13,11,3,12.89
2025-12-07 14:55:47,1.5,35.0,13,11,3,12.89
2025-12-07 14:55:47,14.7,35.0,10,11,4,12.89
2025-12-07 14:55:47,1.5,35.0,14,11,4,12.89
2025-12-07 14:55:48,1.5,35.0,12,11,4,12.89
2025-12-07 14:55:48,9.0,35.1,14,11,5,12.89
2025-12-07 14:55:49,1.4,35.1,14,11,4,12.89
2025-12-07 14:55:49,1.5,35.1,10,11,5,12.89
2025-12-07 14:55:49,0.0,35.1,10,11,5,12.89
2025-12-07 14:55:50,1.5,35.0,13,11,5,12.89
2025-12-07 14:55:50,10.4,35.1,10,11,6,15.22
2025-12-07 14:55:50,2.8,35.1,10,11,5,15.22
2025-12-07 14:55:51,1.5,35.2,14,11,5,15.22
2025-12-07 14:55:51,20.8,35.2,13,11,4,15.22
2025-12-07 14:55:52,3.0,35.2,13,11,4,15.22
2025-12-07 14:55:52,2.9,35.2,13,11,4,15.22
2025-12-07 14:55:52,11.4,35.2,14,11,3,15.22
2025-12-07 14:55:53,14.9,35.3,10,11,4,15.22
2025-12-07 14:55:53,17.6,35.4,10,11,4,15.22
2025-12-07 14:55:53,26.6,35.4,13,11,3,15.22
2025-12-07 14:55:54,1.5,35.3,14,11,3,15.22
2025-12-07 14:55:54,2.9,35.3,13,11,3,15.22
2025-12-07 14:55:55,1.5,35.3,13,11,3,15.22
2025-12-07 14:55:55,2.9,35.3,14,11,3,15.22
2025-12-07 14:55:55,2.9,35.3,10,11,2,17.69
2025-12-07 14:55:56,1.5,35.3,12,11,2,17.69
2025-12-07 14:55:56,11.3,35.3,10,11,2,17.69
2025-12-07 14:55:56,2.9,35.3,13,11,2,17.69
2025-12-07 14:55:57,2.9,35.3,14,11,2,17.69
2025-12-07 14:55:57,2.9,35.3,13,11,2,17.69
2025-12-07 14:55:58,2.9,35.3,14,11,2,17.69
2025-12-07 14:55:58,1.5,35.3,13,11,2,17.69
2025-12-07 14:55:58,1.5,35.3,14,11,1,17.69
2025-12-07 14:55:59,2.9,35.3,13,11,1,17.69
2025-12-07 14:55:59,3.0,35.4,10,11,2,17.69
2025-12-07 14:55:59,0.0,35.4,13,11,2,17.69
2025-12-07 14:56:00,2.9,35.4,14,11,2,17.69
2025-12-07 14:56:00,2.9,35.3,14,11,2,21.00
2025-12-07 14:56:00,5.9,35.3,11,11,2,21.00
2025-12-07 14:56:01,1.4,35.4,12,11,2,21.00
2025-12-07 14:56:01,13.0,35.3,13,11,2,21.00
2025-12-07 14:56:02,4.3,35.4,13,11,2,21.00
2025-12-07 14:56:02,2.9,35.4,10,11,3,21.00
2025-12-07 14:56:02,1.4,35.3,14,11,3,21.00
2025-12-07 14:56:03,1.5,35.3,12,11,3,21.00
2025-12-07 14:56:03,2.9,35.3,13,11,3,21.00
2025-12-07 14:56:03,1.5,35.4,13,11,3,21.00
2025-12-07 14:56:04,2.9,35.4,14,11,3,21.00
2025-12-07 14:56:04,7.5,35.3,10,11,2,21.00
2025-12-07 14:56:05,0.0,35.3,12,11,2,21.00
2025-12-07 14:56:05,1.5,35.3,12,11,3,21.00
2025-12-07 14:56:05,2.9,35.3,14,11,3,25.00
