timestamp,cpu_percent,mem_percent,response_ms,apache_procs,connections,load_avg
2025-12-01 12:04:23,33,3,59.5,79,3,0,1.52
2025-12-01 12:04:23,21,7,59.6,12,3,0,1.52
2025-12-01 12:04:24,17,4,59.5,14,3,0,1.52
2025-12-01 12:04:24,16,4,59.5,11,3,0,1.88
2025-12-01 12:04:24,17,9,59.5,15,3,0,1.88
2025-12-01 12:04:25,8,8,59.3,10,3,0,1.88
2025-12-01 12:04:25,7,4,59.4,14,3,0,1.88
2025-12-01 12:04:25,1,5,59.5,12,3,0,1.88
2025-12-01 12:04:26,6,1,59.6,14,3,0,1.88
2025-12-01 12:04:26,4,5,59.5,10,3,0,1.88
2025-12-01 12:04:26,2,9,59.6,15,3,0,1.88
2025-12-01 12:04:27,7,4,59.6,10,3,0,1.88
2025-12-01 12:04:27,4,4,59.6,14,3,0,1.88
2025-12-01 12:04:28,35,9,59.6,13,3,0,1.88
2025-12-01 12:04:28,4,2,59.6,13,3,0,1.88
2025-12-01 12:04:28,1,5,59.6,13,3,0,1.88
2025-12-01 12:04:29,10,3,59.4,10,3,0,3.33
2025-12-01 12:04:29,2,9,59.4,14,3,0,3.33
2025-12-01 12:04:29,2,8,59.4,14,3,0,3.33
2025-12-01 12:04:30,1,4,59.4,14,3,0,3.33
2025-12-01 12:04:30,7,4,59.4,10,3,0,3.33
2025-12-01 12:04:31,2,9,59.4,14,3,0,3.33
2025-12-01 12:04:31,1,4,59.4,13,3,0,3.33
2025-12-01 12:04:31,5,7,59.4,14,3,0,3.33
2025-12-01 12:04:32,6,0,59.5,12,3,0,3.33
2025-12-01 12:04:32,2,9,59.5,14,3,0,3.33
2025-12-01 12:04:32,1,5,59.4,11,3,0,3.33
2025-12-01 12:04:33,4,4,59.4,13,3,0,3.33
2025-12-01 12:04:33,6,9,59.5,12,3,0,3.33
2025-12-01 12:04:34,1,5,59.3,14,3,0,3.33
2025-12-01 12:04:34,2,9,59.4,11,3,0,6.11
2025-12-01 12:04:34,8,8,59.4,12,3,0,6.11
2025-12-01 12:04:35,8,5,59.4,11,3,0,6.11
2025-12-01 12:04:35,4,5,59.5,14,3,0,6.11
2025-12-01 12:04:35,2,9,59.6,14,3,0,6.11
2025-12-01 12:04:36,20,3,59.7,12,3,0,6.11
2025-12-01 12:04:36,6,1,59.8,11,3,0,6.11
2025-12-01 12:04:36,1,4,59.8,14,3,0,6.11
2025-12-01 12:04:37,5,8,59.8,13,3,0,6.11
2025-12-01 12:04:37,5,8,59.9,10,3,0,6.11
2025-12-01 12:04:38,1,4,59.8,15,3,0,6.11
2025-12-01 12:04:38,1,5,59.9,14,3,0,6.11
2025-12-01 12:04:38,9,7,59.8,12,3,0,6.11
2025-12-01 12:04:39,8,8,59.8,14,3,0,10.10
2025-12-01 12:04:39,1,5,59.9,13,3,0,10.10
2025-12-01 12:04:39,1,4,59.9,14,3,0,10.10
2025-12-01 12:04:40,13,6,59.9,10,3,0,10.10
2025-12-01 12:04:40,5,7,60.0,10,3,0,10.10
2025-12-01 12:04:41,2,9,60.0,14,3,0,10.10
2025-12-01 12:04:41,11,9,60.1,13,3,0,10.10
2025-12-01 12:04:41,2,9,60.1,14,3,0,10.10
2025-12-01 12:04:42,7,6,60.1,13,3,0,10.10
2025-12-01 12:04:42,29,4,60.1,13,3,0,10.10
2025-12-01 12:04:43,6,0,60.1,13,3,0,10.10
2025-12-01 12:04:43,5,8,60.1,13,3,0,10.10
2025-12-01 12:04:43,3,0,60.0,13,3,0,10.10
2025-12-01 12:04:44,4,4,60.0,11,3,0,10.10
2025-12-01 12:04:44,8,7,60.0,12,3,0,14.26
2025-12-01 12:04:44,17,4,60.0,13,3,0,14.26
2025-12-01 12:04:45,5,8,60.0,11,3,0,14.26
2025-12-01 12:04:45,12,3,60.0,14,3,0,14.26
2025-12-01 12:04:46,37,3,60.0,12,3,0,14.26
2025-12-01 12:04:46,8,8,60.1,11,3,1,14.26
2025-12-01 12:04:46,8,6,60.0,13,3,0,14.26
2025-12-01 12:04:47,11,3,60.1,10,3,0,14.26
2025-12-01 12:04:47,1,5,60.1,13,3,0,14.26
2025-12-01 12:04:47,1,5,60.1,13,3,0,14.26
2025-12-01 12:04:48,4,3,60.1,13,3,0,14.26
2025-12-01 12:04:48,1,4,60.1,11,3,0,14.26
2025-12-01 12:04:49,1,4,60.1,12,3,0,14.26
2025-12-01 12:04:49,2,9,59.8,14,3,0,18.40
2025-12-01 12:04:49,8,7,59.8,13,3,0,18.40
2025-12-01 12:04:50,1,5,59.8,15,3,0,18.40
2025-12-01 12:04:50,7,1,59.9,10,3,0,18.40
2025-12-01 12:04:50,7,1,59.8,13,3,0,18.40
2025-12-01 12:04:51,8,5,59.8,12,3,0,18.40
2025-12-01 12:04:51,7,5,59.8,10,3,0,18.40
2025-12-01 12:04:51,2,9,59.8,14,3,0,18.40
2025-12-01 12:04:52,1,4,59.8,14,3,0,18.40
