timestamp,cpu_percent,mem_total_percent,mem_real_percent,response_ms,apache_procs,connect
2025-12-07 20:20:46,2.6,55.0,15.4,89,7,0,0.34
2025-12-07 20:20:47,1.5,55.0,15.4,14,7,0,0.34
2025-12-07 20:20:47,0.0,55.0,15.5,12,7,0,0.34
2025-12-07 20:20:48,2.9,55.0,15.5,14,7,0,0.39
2025-12-07 20:20:49,1.5,55.0,15.5,12,7,0,0.39
2025-12-07 20:20:50,1.4,55.1,15.7,10,7,0,0.39
2025-12-07 20:20:51,8.6,55.1,15.8,12,7,0,0.39
2025-12-07 20:20:51,17.6,55.1,15.7,11,7,0,0.39
2025-12-07 20:20:52,16.2,55.0,15.3,12,7,0,0.39
2025-12-07 20:20:53,2.9,55.0,15.4,14,7,0,0.39
2025-12-07 20:20:54,1.5,55.2,15.7,14,7,0,0.36
2025-12-07 20:20:54,0.0,55.2,15.7,14,7,0,0.36
2025-12-07 20:20:55,1.4,55.2,15.7,14,7,0,0.36
2025-12-07 20:20:56,1.5,55.2,15.8,14,7,0,0.36
2025-12-07 20:20:57,1.5,55.2,15.7,14,7,0,0.36
2025-12-07 20:20:58,0.0,55.2,15.7,14,7,0,0.36
2025-12-07 20:20:58,2.9,55.2,15.7,14,7,0,0.41
2025-12-07 20:20:59,2.9,55.1,16.0,14,7,0,0.41
2025-12-07 20:21:00,1.5,55.1,16.0,12,7,0,0.41
2025-12-07 20:21:01,0.0,55.1,15.8,13,7,0,0.41
2025-12-07 20:21:01,10.4,55.0,15.7,11,7,0,0.41
2025-12-07 20:21:02,1.5,55.0,15.7,14,7,0,0.41
